Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
19877-DEL,Male,35,No,Delhi,7,27,None,Yes,No,Yes,Cable,No,Yes,No,Yes,Yes,No,No,Yes,"One Year",Yes,"Credit Card",65.6,593.3,0,0,381.51,974.81,Stayed,Others,Others
58353-MAH,Female,45,Yes,Maharashtra,14,13,None,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,"Credit Card",-4,542.4,38.33,10,96.21,610.28,Stayed,Others,Others
25063-WES,Male,51,No,"West Bengal",4,35,"Deal 5",Yes,No,Yes,"Fiber Optic",No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",73.9,280.85,0,0,134.6,415.45,Churned,Competitor,"Competitor had better devices"
59787-KAR,Male,79,No,Karnataka,3,21,"Deal 4",Yes,No,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",98,1237.85,0,0,361.66,1599.51,Churned,Dissatisfaction,"Product dissatisfaction"
28544-TAM,Female,80,No,"Tamil Nadu",3,8,None,Yes,No,Yes,"Fiber Optic",No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,"Credit Card",83.9,267.4,0,0,22.14,289.54,Churned,Dissatisfaction,"Network reliability"
32750-TEL,Male,24,No,Telangana,9,2,"Deal 5",Yes,No,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",69.4,571.45,0,0,150.93,722.38,Stayed,Others,Others
84741-MAH,Female,66,Yes,Maharashtra,9,23,"Deal 1",Yes,No,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Bank Withdrawal",109.7,7904.25,0,0,707.16,8611.41,Stayed,Others,Others
65618-GUJ,Male,51,Yes,Gujarat,12,24,"Deal 2",Yes,Yes,Yes,"Fiber Optic",Yes,No,No,Yes,No,No,No,No,"Two Year",Yes,"Credit Card",84.65,5377.8,0,20,816.48,6214.28,Stayed,Others,Others
64233-GUJ,Female,63,No,Gujarat,4,10,"Deal 5",Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,"Two Year",Yes,"Bank Withdrawal",48.2,340.35,0,0,73.71,414.06,Stayed,Others,Others
23612-UTT,Female,41,No,"Uttar Pradesh",3,1,None,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Credit Card",90.45,5957.9,0,0,1849.9,7807.8,Stayed,Others,Others
45397-RAJ,Male,48,Yes,Rajasthan,0,1,None,No,No,Yes,Cable,Yes,No,No,Yes,Yes,No,No,Yes,"Two Year",No,"Credit Card",45.2,2460.55,0,0,0,2460.55,Stayed,Others,Others
53023-UTT,Male,26,Yes,"Uttar Pradesh",6,22,None,Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Two Year",Yes,"Credit Card",116.8,8456.75,0,0,1152.72,9609.47,Stayed,Others,Others
13717-UTT,Male,56,Yes,"Uttar Pradesh",15,26,None,Yes,No,Yes,"Fiber Optic",No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",68.95,351.5,0,0,93.25,444.75,Stayed,Others,Others
71897-MAH,Female,36,Yes,Maharashtra,8,6,"Deal 1",Yes,Yes,Yes,"Fiber Optic",Yes,Yes,Yes,No,Yes,No,No,Yes,"Two Year",Yes,"Bank Withdrawal",101.3,7261.25,0,0,162,7423.25,Stayed,Others,Others
15776-UTT,Female,38,Yes,"Uttar Pradesh",1,19,None,No,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,"Two Year",No,"Bank Withdrawal",45.05,2560.1,0,0,0,2560.1,Stayed,Others,Others
56731-BIH,Female,53,Yes,Bihar,5,8,"Deal 1",Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,No,Yes,Yes,Yes,"Two Year",Yes,"Credit Card",95.75,6849.4,0,0,1935.46,8784.86,Stayed,Others,Others
